Account_ID,Month,Region,Product,Credit_Band,Assigned_Collector,Origination_Balance,Outstanding_Balance,DPD_Bucket,Days_Past_Due,Contact_Attempts,Promise_to_Pay,Amount_Recovered
ACC-10000,2026-06,Ontario,Line of Credit,Near-Prime,R. Osei,15000,5066.32,Current,0,1,No,0.0
ACC-10001,2025-10,British Columbia,Personal Loan,Subprime,M. Singh,15000,6288.19,Current,0,0,No,0.0
ACC-10002,2026-08,Quebec,Auto Loan,Near-Prime,A. Chen,8000,5996.99,1-30 DPD,30,3,Yes,0.0
ACC-10003,2026-06,Ontario,Line of Credit,Near-Prime,J. Tremblay,12000,8937.02,Current,0,0,No,0.0
ACC-10004,2026-04,Ontario,Auto Loan,Prime,R. Osei,20000,11527.03,Current,0,0,No,0.0
ACC-10005,2025-12,Quebec,Personal Loan,Subprime,M. Singh,15000,8989.66,90+ DPD,162,9,No,0.0
ACC-10006,2026-07,Ontario,Auto Loan,Prime,A. Chen,5000,3811.86,Current,0,1,No,0.0
ACC-10007,2025-10,Atlantic,Credit Card,Near-Prime,J. Tremblay,20000,10820.64,Current,0,0,No,0.0
ACC-10008,2026-01,British Columbia,Credit Card,Near-Prime,L. Fontaine,20000,11857.88,61-90 DPD,65,5,No,3818.24
ACC-10009,2026-07,Ontario,Auto Loan,Near-Prime,L. Fontaine,3000,2738.56,Current,0,0,No,0.0
ACC-10010,2026-02,British Columbia,Line of Credit,Near-Prime,M. Singh,15000,6629.79,Current,0,0,No,0.0
ACC-10011,2025-09,Alberta,Auto Loan,Subprime,J. Tremblay,8000,4620.96,Current,0,1,No,0.0
ACC-10012,2026-06,Ontario,Auto Loan,Near-Prime,A. Chen,8000,7303.13,Current,0,0,No,0.0
ACC-10013,2026-08,Quebec,Credit Card,Prime,A. Chen,3000,1869.63,Current,0,0,No,0.0
ACC-10014,2026-03,Ontario,Personal Loan,Near-Prime,A. Chen,25000,22259.32,Current,0,0,No,0.0
ACC-10015,2026-07,Ontario,Auto Loan,Near-Prime,L. Fontaine,5000,2287.02,Current,0,1,No,0.0
ACC-10016,2025-11,Atlantic,Auto Loan,Near-Prime,A. Chen,5000,3702.08,Current,0,0,No,0.0
ACC-10017,2026-03,Quebec,Personal Loan,Near-Prime,J. Tremblay,20000,14293.03,1-30 DPD,28,3,No,14114.62
ACC-10018,2026-07,Ontario,Line of Credit,Subprime,L. Fontaine,20000,9625.33,Current,0,0,No,0.0
ACC-10019,2026-07,Alberta,Line of Credit,Near-Prime,L. Fontaine,15000,9367.51,61-90 DPD,68,1,Yes,7161.0
ACC-10020,2025-12,Ontario,Auto Loan,Subprime,L. Fontaine,8000,2601.41,1-30 DPD,21,4,Yes,1939.17
ACC-10021,2025-10,Quebec,Line of Credit,Near-Prime,R. Osei,20000,14386.34,Current,0,0,No,0.0
ACC-10022,2025-09,Alberta,Personal Loan,Subprime,R. Osei,12000,10084.86,31-60 DPD,44,1,No,0.0
ACC-10023,2026-03,Atlantic,Line of Credit,Prime,A. Chen,3000,1846.3,Current,0,0,No,0.0
ACC-10024,2026-02,Ontario,Credit Card,Prime,R. Osei,12000,5582.48,Current,0,0,No,0.0
ACC-10025,2026-06,Ontario,Credit Card,Near-Prime,A. Chen,15000,9420.89,61-90 DPD,85,2,No,0.0
ACC-10026,2026-08,Ontario,Auto Loan,Prime,L. Fontaine,20000,11700.16,Current,0,0,No,0.0
ACC-10027,2026-02,Ontario,Personal Loan,Near-Prime,L. Fontaine,5000,1626.21,Current,0,0,No,0.0
ACC-10028,2026-03,Quebec,Auto Loan,Subprime,K. Brar,5000,1667.97,Current,0,0,No,0.0
ACC-10029,2026-06,Quebec,Credit Card,Subprime,J. Tremblay,3000,2450.61,Current,0,0,No,0.0
ACC-10030,2026-05,Quebec,Personal Loan,Prime,K. Brar,5000,1689.13,Current,0,1,No,0.0
ACC-10031,2026-03,Ontario,Personal Loan,Prime,A. Chen,12000,6998.25,Current,0,0,No,0.0
ACC-10032,2026-08,Ontario,Auto Loan,Prime,R. Osei,15000,4897.11,Current,0,1,No,0.0
ACC-10033,2026-01,Quebec,Personal Loan,Prime,K. Brar,8000,5602.42,Current,0,0,No,0.0
ACC-10034,2026-04,Ontario,Auto Loan,Near-Prime,M. Singh,20000,8118.15,Current,0,0,No,0.0
ACC-10035,2025-11,British Columbia,Personal Loan,Near-Prime,R. Osei,15000,8967.97,Current,0,0,No,0.0
ACC-10036,2026-08,Atlantic,Auto Loan,Prime,A. Chen,12000,3742.13,Current,0,0,No,0.0
ACC-10037,2025-10,British Columbia,Personal Loan,Prime,K. Brar,15000,9336.37,Current,0,0,No,0.0
ACC-10038,2025-12,Ontario,Line of Credit,Subprime,J. Tremblay,8000,6303.2,Current,0,2,No,0.0
